,seqno_int,country_name,lifesat_low,mental_complaintsY,health_complaintsY,pmsu_lmh,pmsu_yn,family_support_high,family_support_hml,friends_support_high,friends_support_hml,teacher_support_high,student_support_high,school_support_high,IRRELFAS_LMH_r,talkfatherYes,talkmotherYes,beenbulliedYes,cbeenbulliedYes,age_r,sex_r,emconlfreqYes,lives_onlineYN,timeexe_r,alc30d_YN
count,244097.0,235686,239585.0,231215.0,229906.0,193187,193187.0,221744.0,221744,231201.0,231201,224336.0,225299.0,221471.0,231498,226606.0,228576.0,227135.0,229013.0,242581.0,244097,218483.0,212191.0,239298.0,224771.0
unique,,45,,,,3,,,3,,3,,,,3,,,,,,2,,,,
top,,Wales,,,,Low,,,High,,High,,,,Med60,,,,,,Girl,,,,
freq,,15951,,,,108751,,,169660,,155201,,,,142148,,,,,,123747,,,,
mean,2390238.8208785853,,0.13271281591084583,0.2773738728023701,0.3666933442363401,,0.07321403614114821,0.7038206219784977,,0.5855511005575236,,0.5529607374652308,0.5707615213560646,0.4955321464209761,,0.6713105566489854,0.8347858042839144,0.26803883153190833,0.131490352076083,12.960128781726516,,0.3428092803559087,0.18347620775621964,0.7109587209253734,0.19035818677676392
std,1384521.9815409055,,0.3392648004439391,0.44770355636432263,0.4819028383796508,,0.26048818070791785,0.4565721127493474,,0.49262770816525464,,0.4971883568509013,0.49496857931790433,0.49998116665977677,,0.4697378704271705,0.37137456648738104,0.44293891238422933,0.33793658880617633,1.617855229252423,,0.47464945888884,0.3870573535988297,0.4533180746628089,0.39258455546708965
min,100001.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0
25%,1013119.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0
50%,2301741.0,,0.0,0.0,0.0,,0.0,1.0,,1.0,,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,13.0,,0.0,0.0,1.0,0.0
75%,3600677.0,,0.0,1.0,1.0,,0.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,15.0,,1.0,0.0,1.0,0.0
max,4813535.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,15.0,,1.0,1.0,1.0,1.0
