,0
HBSC,HBSC
seqno_int,seqno_int
cluster,cluster
countryno,countryno
region,region
id1,id1
id2,id2
id3,id3
id4,id4
weight,weight
adm,adm
month,month
year,year
age,age
agecat,agecat
sex,sex
grade,grade
monthbirth,monthbirth
yearbirth,yearbirth
fasfamcar,fasfamcar
fasbedroom,fasbedroom
fascomputers,fascomputers
fasbathroom,fasbathroom
fasdishwash,fasdishwash
fasholidays,fasholidays
health,health
lifesat,lifesat
headache,headache
stomachache,stomachache
backache,backache
feellow,feellow
irritable,irritable
nervous,nervous
sleepdificulty,sleepdificulty
dizzy,dizzy
thinkbody,thinkbody
physact60,physact60
breakfastwd,breakfastwd
breakfastwe,breakfastwe
fruits_2,fruits_2
vegetables_2,vegetables_2
sweets_2,sweets_2
softdrinks_2,softdrinks_2
fmeal,fmeal
toothbr,toothbr
timeexe,timeexe
smokltm,smokltm
smok30d_2,smok30d_2
alcltm,alcltm
alc30d_2,alc30d_2
drunkltm,drunkltm
drunk30d,drunk30d
cannabisltm_2,cannabisltm_2
cannabis30d_2,cannabis30d_2
bodyweight,bodyweight
bodyheight,bodyheight
likeschool,likeschool
schoolpressure,schoolpressure
studtogether,studtogether
studhelpful,studhelpful
studaccept,studaccept
teacheraccept,teacheraccept
teachercare,teachercare
teachertrust,teachertrust
bulliedothers,bulliedothers
beenbullied,beenbullied
cbulliedothers,cbulliedothers
cbeenbullied,cbeenbullied
fight12m,fight12m
injured12m,injured12m
friendhelp,friendhelp
friendcounton,friendcounton
friendshare,friendshare
friendtalk,friendtalk
emconlfreq1,emconlfreq1
emconlfreq2,emconlfreq2
emconlfreq3,emconlfreq3
emconlfreq4,emconlfreq4
emconlpref1,emconlpref1
emconlpref2,emconlpref2
emconlpref3,emconlpref3
emcsocmed1,emcsocmed1
emcsocmed2,emcsocmed2
emcsocmed3,emcsocmed3
emcsocmed4,emcsocmed4
emcsocmed5,emcsocmed5
emcsocmed6,emcsocmed6
emcsocmed7,emcsocmed7
emcsocmed8,emcsocmed8
emcsocmed9,emcsocmed9
hadsex,hadsex
agesex,agesex
contraceptcondom,contraceptcondom
contraceptpill,contraceptpill
countryborn,countryborn
countrybornmo,countrybornmo
countrybornfa,countrybornfa
motherhome1,motherhome1
fatherhome1,fatherhome1
stepmohome1,stepmohome1
stepfahome1,stepfahome1
fosterhome1,fosterhome1
elsehome1_2,elsehome1_2
employfa,employfa
employmo,employmo
employnotfa,employnotfa
employnotmo,employnotmo
talkfather,talkfather
talkstepfa,talkstepfa
talkmother,talkmother
talkstepmo,talkstepmo
famhelp,famhelp
famsup,famsup
famtalk,famtalk
famdec,famdec
MBMI,MBMI
IRFAS,IRFAS
IRRELFAS_LMH,IRRELFAS_LMH
IOTF4,IOTF4
oweight_who,oweight_who
